,Book_Site,Genre,Books_URL,Name,Author,Availability,Description,Offer_Price,MRP,Publisher,Pages
0,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9781310393863/Just-so-Stories,JUST SO STORIES,RUDYARD KIPLING,In Stock,"These delightful stories tell you fascinating things like how the Leopard got his spots, How the Camel got his Hump, and How the Alphabet was Made. First published in 1902 and illustrated by the author himself, this enchanting book is one of Rudyard Kipling's most famous.",RS. 360,RS. 899,Piccolo,148
1,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9781310393857/The-Galileans,THE GALILEANS,FRANK G. SLAUGHTER,In Stock,"The Galileans by Dr. Frank Slaughter reads like the masturbatory fantasy of a narcisstic Christian physician. This so-called ""Novel of Mary Magdalene"" is in actuality the imagined love story of Joseph of Arithmea and Mary Magdalene, and Joseph is the real main character here.",RS. 270,RS. 899,Panther Books,284
2,https://www.bookchor.com/,Literature and Fiction,"https://www.bookchor.com/book/9781310393844/LADY-WINDERMERE'S-FAN,-A-WOMAN-OF-NO-IMPORTANCE,-AN-IDEAL-HUSBAND,-THE-IMPORTANCE-OF-BEING-EARNEST,-SALOME-BY-OSCAR-WILDE","LADY WINDERMERE'S FAN, A WOMAN OF NO IMPORTANCE, AN IDEAL HUSBAND, THE IMPORTANCE OF BEING EARNEST, SALOME BY OSCAR WILDE",OSCAR WILDE,In Stock,"This Penguin collection contains Oscar Wilde's five wittiest and best known plays. he himself described lady Windermere's Fan his first great stage success, as 'one of those modern drawing-room plays with pink lampshades.'",RS. 494,RS. 899,Penguin Books,347
3,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9781310393837/THE-KING'S-PEACE-BY-C.V.-WEDGWOOD-PAPERBACK,THE KING'S PEACE BY C.V. WEDGWOOD-PAPERBACK,C.V. WEDGWOOD,In Stock,"This volume tells the story of the four eventful years which immediately preceded the Civil War, years which transformed the tranquil dominions of King Charles into a land rent by mistrust and menaced by fire and sword. It tells of the rise of the covenanters in Scotland with such leaders as the gallant Montrose and the mysterious Argyll. It tells of Parliament's opposition to the King under the skiLLful leadership of John Pym. The tragedy of Strafford is linked with the terrible insurrection in Ireland. Miss Wedgewood has sought to convey the vivid day sequence of events as they flooded down on the men & women of the time, and to restore as far as possible the immediacy of their experience.",RS. 360,RS. 899,Collins,209
4,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9781310393835/THE-HAUNTED-SISTERS-BY-JEAN-PLAIDY-PAPERBACK,THE HAUNTED SISTERS BY JEAN PLAIDY-PAPERBACK,JEAN PLAIDY,In Stock,"Married by royal arrangement to politically ambitious men, Mary and Anne Stuart are reunited when they join the revolt against their father, King James II",RS. 280,RS. 699,Pan Books,382
5,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9781310393827/A-TOWN-LIKE-ALICE-BY-NEVIL-SHUTE-PAPERBACK,A TOWN LIKE ALICE BY NEVIL SHUTE-PAPERBACK,NEVIL SHUTE,In Stock,"Nevil Shute's most beloved novel, a tale of love and war, follows its enterprising heroine from the Malayan jungle during World War II to the rugged Australian outback.

Jean Paget, a young Englishwoman living in Malaya, is captured by the invading Japanese and forced on a brutal seven-month death march with dozens of other women and children. A few years after the war, Jean is back in England, the nightmare behind her. However, an unexpected inheritance inspires her to return to Malaya to give something back to the villagers who saved her life. Jean's travels leads her to a desolate Australian outpost called WilLstown, where she finds a challenge that will draw on all the resourcefulness and spirit that carried her through her war-time ordeals.",RS. 276,RS. 689,Pan Books,314
6,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9781310393823/UNDER-STRIKE-BY-JOHN-GARDNER-PAPERBACK,UNDER STRIKE BY JOHN GARDNER-PAPERBACK,JOHN GARDNER,In Stock,"The suave, womanising special agent for British Intelligence returns in his second thrilling adventure.

At the height of the Cold War, Boysie is sent on a routine mission to America.

In San Diego, he will be the official British observer for the test-fire of America’s latest nuclear missile: The Trepholite.

But the Soviets have other plans.

A double of Boysie has been sent into the field.

And very soon Boysie is embroiled in a game of bluff and double-bluff involving a holocaustic missile, a slick con man - and Vladimir Solev, an deadly opponent and yet also a man in whom Boysie sees something of himself.

Along the way, Boysie is mixed up with two gorgeous women - the sultry Priscilla Braddock Fairchild and the luscious Chicory Triplehouse.

As he adventures across the United States, Boysie must dodge bullets, deadly predators and jealous women.

And as he arrives in San Diego the clock is ticking and Operation Understrike is under way.

‘Understrike’ is the second in the series of highly acclaimed spy novels featuring cowardly secret agent, Boysie Oakes. It is perfect for fans of classic British spy fiction, including Ian Fleming, Len Deighton, and Desmond Bagley.

Before coming an author of fiction in the early 1960’s John Gardner was variously a stage magician, a Royal Marine officer and a journalist. In all Gardner has fifty-four novels to his credit, including Maestro, which was the New York Times book of the year. He was also invited by Ian Fleming’s literary copyright holders to write a series of continuation James Bond novels, which proved to be so successful that instead of the contracted three books he went on to publish some fourteen titles, including Licence Renewed and Icebreaker. Having lived in the Republic of Ireland, the United States and the UK, John Gardner sadly died in August of 2007 having just completed his third novel in the Moriarty trilogy, Conan Doyle’s eponymous villain of the Sherlock Holmes series.

'Cool polished story-telling with all the sexy sidelines in the best James Bond tradition' Evening Standard

Endeavour Press is the UK's leading independent publisher of digital books.",RS. 298,RS. 745,CORGI EDITION,175
7,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9781310393818/KIM-BY-RUDYARD-KIPLING-PAPERABACK,KIM BY RUDYARD KIPLING-PAPERABACK,RUDYARD KIPLING,In Stock,"Kim is a novel by Nobel Prize-winning English author Rudyard Kipling. It was first published serially in McClure's Magazine from December 1900 to October 1901 as well as in Cassell's Magazine from January to November 1901, and first published in book form by Macmillan & Co. Ltd in October 1901.",RS. 320,RS. 799,Pan Books,321
8,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9781846272523/The-Creator,THE CREATOR,GUDRÚN EVA MÍNERVUDÓTTIR,In Stock,"When Lóa's car gets a puncture out in the countryside, the man who lives nearest proves recalcitrantly helpful. She ends up falling asleep in his armchair and wakes to intense guilt at neglecting her daughter back in Reykjavik, followed by shock at what she finds in her helper's back room - half-finished, life-size silicone women hanging from hooks. Sveinn, her host, is a craftsman; he makes sex dolls. In his workshop Lóa is overcome with a surprising reverence, and acting on a mad notion of salvation, she steals one of the dolls for her troubled daughter Margret. For the first time ever, Lóa finds she is a thief. And worse, when her friends and family greet her plans with incredulity, she finds that there is another more awful theft, beyond her expectations and her understanding. Bereft and adrift, how can Lóa save her daughter from herself and what can she learn from Sveinn's loneliness? Two people who fear responsibility putting themselves in harm's way, Sveinn and Lóa dance a fascinating dance in this striking novel from Iceland's most celebrated young novelist.",RS. 210,RS. 599,Protobello,288
9,https://www.bookchor.com/,Literature and Fiction,https://www.bookchor.com/book/9780263866117/The-Heart-Won't-Lie,THE HEART WON'T LIE,MARGOT DALTON,In Stock,"Power , wealth and influence live in the land and in the hands of one family- a dynasty driven by passion , determined to forge a bold new future!",RS. 128,RS. 399,Mills & Boon,304
