,category_link,prod_link,prod_name,stars,ratings_reviews,offer_price,prod_mrp,discount,currency,cashback,promocode,cashback_more,product_code,model_id,warranty,seller_name
0,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/philips-25-ltr-otg-microwave-oven-hd6975-00-grey-CMPLXLARPHILIPS-HD69DUMM20256F4ACBCDA-pdp?product_id=281237172&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C1%7Cdemographics_location%23NA&get_review_id=281237173&site_id=2&child_site_id=6,"Philips 25 L Otg Microwave Oven - HD6975/00 , Grey",3/5,2 Ratings,"7,549",8095,7%,INR,830,HK11,Null,LARPHILIPS-HD69AMER76593F4ACBCDA,HD6975/00,2 years manufacturer warranty,Amerex
1,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/morphy-richards-28-l-grill-microwave-oven-28-rss-CMPLXLARMORPHY-RICHAEDEA149363A7B57B27-pdp?product_id=336188259&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C3%7Cdemographics_location%23NA&get_review_id=122154553&site_id=2&child_site_id=6,"Morphy Richards 28 L Otg Microwave Oven - 28 RSS , Black",4.2/5,5 Ratings,"7,980",9295,14%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARMORPHY-RICHASAHI27653786E75328,28 RSS,1 year manufacturer warranty,Sahil Electronics
2,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/inalsa-16-l-otg-microwave-oven-masterchef-16bk-black-CMPLXLARINALSA-MASTEK3-S216084CDE106D-pdp?product_id=336644748&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C4%7Cdemographics_location%23NA&get_review_id=335749889&site_id=2&child_site_id=6,"Inalsa 16 L Otg Microwave Oven - MASTERCHEF 16BK , Black",Null,Null,"4,100",4495,9%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARINALSA-16-L-MONI627983D03041FF,MasterChef 16BK,2 years manufacturer warranty,Monika Electronics
3,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/bajaj-16-l-otg-microwave-oven-1603t-white-CMPLXLARBAJAJ-MAJESTDUMM2025692F24380-pdp?product_id=330458440&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C5%7Cdemographics_location%23NA&get_review_id=330455776&site_id=2&child_site_id=6,"Bajaj 16 L Otg Microwave Oven - 1603T , White",Null,Null,"3,974",5380,26%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARBAJAJ-16-L-OUNBO55520BD7A610E,1603T,1 year manufacturer warranty,Unboxed Deals
4,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/orbit-12litr-corvus-otg-oven-white-oven-toaster-grill-CMPLXLARORBIT-12LITRORBI41326418948FC-pdp?product_id=204740941&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C6%7Cdemographics_location%23NA&get_review_id=204740943&site_id=2&child_site_id=6,"Orbit 12 ltr Otg Microwave Oven - CORVUS , White",3/5,4 Ratings & 1 Reviews,"2,499",3500,29%,INR,1850,Null,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARORBIT-12LITRORBI41326418948FC,Corvus,1 year manufacturer warranty,Orbit Electro Domestic
5,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/ifb-17pm-mec-1-17-l-solo-oven-CMPLXLARIFB-17PM-MECDUMM2025673A8FAB3-pdp?product_id=219113956&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C7%7Cdemographics_location%23NA&get_review_id=7932527&site_id=2&child_site_id=6,"IFB 17 L Solo Microwave Oven - 17PM MEC1 , White",4/5,20 Ratings & 3 Reviews,"6,190",6490,15%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARIFB-17-LTR-SKITC782378CD6DEE37,17PM MEC1,1 year manufacturer warranty on product & 3 years on magnetron,S S Electronics
6,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/lg-28-l-convection-microwave-oven-mc2846bg-black-CMPLXLARLG-28-L-CONVDUMM202567AF4B8CC-pdp?product_id=278386209&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C8%7Cdemographics_location%23NA&get_review_id=212301437&site_id=2&child_site_id=6,"LG 28 L Convection Microwave Oven - MC2846BG , Black",1/5,1 Ratings,"13,290",15990,17%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARLG-28-LTR-COONLI816186E89AA923,MC2846BG,1 year manufacturer warranty,Online Source Hub
7,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/prestige-19-l-otg-microwave-oven-potg-black-CMPLXLARPRESTIGE-POTT-T-64332257F0D221-pdp?product_id=336832428&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C9%7Cdemographics_location%23NA&get_review_id=336832430&site_id=2&child_site_id=6,"Prestige 19 L Otg Microwave Oven - POTG , Black",Null,Null,"4,640",5795,20%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARPRESTIGE-POTT-T-64332257F0D221,POTG,1 year manufacturer warranty,T T K Prestige E Shop
8,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/borosil-42-l-otg-microwave-oven-botg42crs14-silver-CMPLXLARBOROSIL-PRIMDUMM202562E084664-pdp?product_id=334771840&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C10%7Cdemographics_location%23NA&get_review_id=334771841&site_id=2&child_site_id=6,"Borosil 42 L Otg Microwave Oven - BOTG42CRS14 , Silver",Null,Null,"8,619",10440,17%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARBOROSIL-PRIMUNI-11428872E084664,BOTG42CRS14,2 years manufacturer warranty,Uni One
9,https://paytmmall.com/shop/search?q=microwave%20oven&from=organic&child_site_id=6&site_id=2,https://paytmmall.com/whirlpool-25-l-convection-microwave-oven-magicook-25l-elite-CMPLXLARWHIRLPOOL-25FEST35922F987E05D-pdp?product_id=162046669&sid=052d0153-f6a9-4e65-8d3e-1cc475611bdb&src=consumer_search&svc=-1&cid=24839&tracker=organic%7C24839%7Cmicrowave%20oven%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C11%7Cdemographics_location%23NA&get_review_id=133461917&site_id=2&child_site_id=6,Whirlpool 25 ltr Convection Microwave Oven - MAGICOOK ELITE 25L BLACK,Null,Null,"12,700",13290,4%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARWHIRLPOOL-25SUPE232334933DA657,MAGICOOK ELITE 25L Black,1 Year on the Unit & 2 Years on the Magnetron,New YBM Incorporation
