,category_link,prod_link,prod_name,stars,ratings_reviews,offer_price,prod_mrp,discount,currency,cashback,promocode,cashback_more,product_code,model_id,warranty,seller_name
0,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/croma-craw2221-6-5-kg-semi-automatic-top-loading-washing-machine-CMPLXLARCROMA-CRAW22DUMM20256A3D5C9C1-pdp?product_id=332073834&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C1%7Cdemographics_location%23NA&get_review_id=232135793&site_id=2&child_site_id=6,"Croma 6.5 kg Semi Automatic Top Load Washing machine - CRAW2221 , White",Null,Null,"7,490",12000,38%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARCROMA-6-5-KGINFI46128DFC9F430,CRAW2221,2 years manufacturer warranty,Croma Authorised Seller
1,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/lg-7-kg-semi-automatic-top-load-washing-machine-p7020ngay-dark-grey-CMPLXLARLG-7-KG-SEMIFAIR235403E1E1272-pdp?product_id=327625359&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C2%7Cdemographics_location%23NA&get_review_id=290699065&site_id=2&child_site_id=6,"LG 7 kg Semi Automatic Top Load Washing machine - P7020NGAY , Dark grey",4.7/5,3 Ratings,"11,890",13490,12%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARLG-7-KG-SEMINOID74113EC6CC261,P7020NGAY,"2 Years On Product Warranty, 5 Years On Motor Warranty",Noida Direct
2,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/onida-9-kg-fully-automatic-top-loading-washing-machine-w90w-CMPLXLARONIDA-9-KG-FDUMM20256234ACF01-pdp?product_id=330013498&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C3%7Cdemographics_location%23NA&get_review_id=146284440&site_id=2&child_site_id=6,Onida 9 kg Semi Automatic Top Load Washing machine - W90W,3/5,7 Ratings & 3 Reviews,"5,850",6600,11%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARONIDA-9-KG-SBEST572802908C6B6,W90W,1 year warranty on product,Best Buy Sec
3,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/hafele-7-kg-fully-automatic-front-load-washer-with-dryer-marina-7512wd-white-CMPLXLARHAFELE-MARINPRIM11032573CFD5A37-pdp?product_id=337011651&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C4%7Cdemographics_location%23NA&get_review_id=337011653&site_id=2&child_site_id=6,"Hafele 7 Kg Fully Automatic Front Load Washer with dryer - MARINA 7512WD , White",Null,Null,"55,883",80990,31%,INR,2794,FESTIVE5,Null,LARHAFELE-MARINPRIM11032573CFD5A37,Marina 7512WD,1 year manufacturer warranty,Hafele Authorised Seller
4,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/dvizio-7-5-kg-semi-automatic-top-load-washer-with-dryer-we-7501-white-maroon-CMPLXLARDVIZIO-7-5-KWALI1151025B8641424-pdp?product_id=333755004&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C5%7Cdemographics_location%23NA&get_review_id=333755006&site_id=2&child_site_id=6,"DVIZIO 7.5 kg Semi Automatic Top Load Washing machine - WE-7501 , White & Maroon",1/5,1 Ratings,"7,190",12490,42%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARDVIZIO-7-5-KWALI1151025B8641424,WE-7501,Null,DVIZIO Authorised Seller
5,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/samsung-6-5-kg-fully-automatic-top-load-washer-with-dryer-wa65a4022ns-tl-grey-CMPLXLARSAMSUNG-6-5-DUMM20256D2C75204-pdp?product_id=332550353&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C6%7Cdemographics_location%23NA&get_review_id=332197240&site_id=2&child_site_id=6,"Samsung 6.5 kg Fully Automatic Top Load Washer with dryer - WA65A4022NS/TL , Grey",3/5,1 Ratings & 1 Reviews,"14,990",17350,14%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARSAMSUNG-6-5-MR-S1131703244F0A3,WA65A4022NS/TL,3 years manufacturer warranty for product and 10 years for motor,MR Surya Electronics
6,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/ifb-8-kg-fully-automatic-front-load-washing-machine-senator-wxs-8kg-silver-CMPLXLARIFB-8-KG-FULBAJA102418544805E55-pdp?product_id=327610412&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C7%7Cdemographics_location%23NA&get_review_id=252503990&site_id=2&child_site_id=6,"IFB 8 kg Fully Automatic Front Load Washing machine - SENATOR WXS 8KG , Silver",4.2/5,6 Ratings & 1 Reviews,"36,499",36990,1%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARIFB-8-KG-FULONLY89381BEC7689C,SENATOR WXS 8KG,2 Years Manufacturer Warranty,Only For You
7,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/godrej-6-2-kg-fully-automatic-top-load-washing-machine-wt-eon-audra-620-pdnmp-coca-brown-CMPLXLARGODREJ-6-2-KGIRI713409E50BEB57-pdp?product_id=331839297&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C8%7Cdemographics_location%23NA&get_review_id=276263562&site_id=2&child_site_id=6,"Godrej 6.2 kg Fully Automatic Top Load Washing machine - WT EON AUDRA 620 PDNMP , Cocoa brown",Null,Null,"14,220",19900,29%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARGODREJ-6-2-KONLI81618673B759E4,WT EON AUDRA 620 PDNMP,1 year manufacturer warranty for phone and 6 months for in the box accessories,Online Source Hub
8,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/whirlpool-6-5-kg-fully-automatic-top-load-washer-with-dryer-whitemagic-elite-plus-6-5-grey-10ymw-grey-CMPLXLARWHIRLPOOL-6-SUPE439344B81FFA1-pdp?product_id=331211324&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C9%7Cdemographics_location%23NA&get_review_id=331211326&site_id=2&child_site_id=6,"Whirlpool 6.5 kg Fully Automatic Top Load Washer with dryer - WHITEMAGIC ELITE PLUS 6.5 GREY 10YMW , Grey",1/5,1 Ratings & 1 Reviews,"16,470",21350,23%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARWHIRLPOOL-6-SUPE439344B81FFA1,WHITEMAGIC ELITE PLUS 6.5 GREY 10YMW,2 years manufacturer warranty for product and 10 years for motor,Home Shopper
9,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/haier-6-kg-fully-automatic-top-load-washing-machine-hwm60-1269db-moonlight-grey-CMPLXLARHAIER-6-KG-FDUMM202567AC6FF0F-pdp?product_id=330110290&sid=9eb61b2d-10a0-4831-abfa-08284880ee59&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C10%7Cdemographics_location%23NA&get_review_id=329849334&site_id=2&child_site_id=6,"Haier 6 kg Fully Automatic Top Load Washing machine - HWM60-1269DB , Moonlight grey",Null,Null,"11,550",17490,34%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARHAIER-6-KG-FSUPE439348C9D4AD3,HWM60-1269DB,1 year manufacturer warranty for phone and 6 months for in the box accessories,Home Shopper
