,category_link,prod_link,prod_name,stars,ratings_reviews,offer_price,prod_mrp,discount,currency,cashback,promocode,cashback_more,product_code,model_id,warranty,seller_name
0,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/canon-eos-m50-black-+-ef-m-15-45mm-is-stm-lens-black-CMPLXCAMCANON-EOS-M5CANO52751EA9999DD-pdp?product_id=327925592&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C1%7Cdemographics_location%23NA&get_review_id=169379925&site_id=2&child_site_id=6,Canon EOS M50 Kit (EF-M15-45 IS STM) 24.1MP Mirrorless Camera (Black),4.2/5,8 Ratings,"59,995",60995,2%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMCANON-EOS-M5A1-L69873667E86836,M50,Null,A1 Lab
1,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/panasonic-lumix-g7-4k-mirrorless-camera-with-14-42mm-mega-o-i-s-lens-black-CMPLXCAMPANASONIC-LUCAME236941198C50D-pdp?product_id=238141908&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C2%7Cdemographics_location%23NA&get_review_id=238141912&site_id=2&child_site_id=6,Panasonic Lumix G7 4K Mirrorless Camera with 14-42mm MEGA O.I.S. Lens (Black),5/5,1 Ratings,"39,370",49770,21%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMPANASONIC-LUCAME236941198C50D,G7 4K,2 years manufacturer warranty for camera body and lens,Best Deal Camera Point
2,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/sony-ilce-6000y-b-24-3-mp-advanced-point-shoot-black-with-selp1650-sel55210-lens-CMPLXCAMSONY-ILCE-60VIRA54556DE0A959F-pdp?product_id=105506809&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C3%7Cdemographics_location%23NA&get_review_id=11179376&site_id=2&child_site_id=6,Sony ILCE-6000Y/B Kit (SEL16-50mm + 55-210mm) 24.3 MP DSLR Camera (Black) + Carry Case + 16GB SD Card,4.8/5,10 Ratings,"63,300",63990,1%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMSONY-ILCE-60CAME2722684A3023AC,ILCE-6000Y,2 years manufacturer warranty for camera body and lens,Camera Stores
3,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/fujifilm-x-series-x-t200-kit-15-45-mm-lens-mirrorless-camera-black-CMPLXCAMFUJIFILM-X-SKRAZ37449730678B9-pdp?product_id=336892867&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C4%7Cdemographics_location%23NA&get_review_id=336892869&site_id=2&child_site_id=6,Fujifilm X Series X-T200 Kit (15-45 mm Lens) Mirrorless Camera (Black),Null,Null,"54,549",66999,19%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMFUJIFILM-X-SKRAZ37449730678B9,X-T200,Null,Krazy Deals
4,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/canon-eos-1500d-body-only-CMPLXCAMCANON-EOS-15CANO527519BB7C5EB-pdp?product_id=175511013&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C5%7Cdemographics_location%23NA&get_review_id=169379912&site_id=2&child_site_id=6,Canon EOS 1500D Kit (EF S18-55 IS II + 55-250 mm) 24.1 MP DSLR Camera (Black),3.6/5,12 Ratings & 1 Reviews,"43,295",Null,Null,INR,1850,Null,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMCANON-EOS-15CAME23694601D77F7,EOS 1500D,2 years manufacturer warranty for camera body and lens,Best Deal Camera Point
5,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/canon-eos-80d-ef-s18-135-is-usm-24-2-mp-dslr-camera-black-CMPLXCAMCANON-EOS-80DUMM141A39EE8DB-pdp?product_id=291646411&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C6%7Cdemographics_location%23NA&get_review_id=45797283&site_id=2&child_site_id=6,Canon EOS 80D Kit (EF-S18-135 IS USM) 24.2 MP DSLR Camera (Black),4.8/5,13 Ratings & 2 Reviews,"98,190",111995,12%,INR,1850,Null,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMCANON-EOS-80A1-L698736F41764CB,EOS 80D,2 years manufacturer warranty for camera body and lens,A1 Lab
6,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/canon-eos-800d-kit-ef-s18-55-is-stm-24-2-mp-dslr-camera-black-CMPLXCAMCANON-EOS-80DUMM1417005944C-pdp?product_id=165274674&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C7%7Cdemographics_location%23NA&get_review_id=97845758&site_id=2&child_site_id=6,Canon EOS 800D Kit (EF S18-55 IS STM) 24.2 MP DSLR Camera (Black),4.7/5,6 Ratings,"58,995",60495,2%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMCANON-EOS-80CAME23694DB835CB7,Canon 800D,2 years manufacturer warranty for camera body and lens,Best Deal Camera Point
7,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/canon-eos-3000d-body-only-CMPLXCAMCANON-EOS-30DUMM141992378B6-pdp?product_id=175510978&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C8%7Cdemographics_location%23NA&get_review_id=169379911&site_id=2&child_site_id=6,Canon EOS 3000D Kit (EF S18-55 IS II) 18 MP DSLR Camera (Black),3.2/5,11 Ratings,"30,995",31995,3%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMCANON-EOS-30CAME23694D0D5E1FF,3000D,1 year manufacturer warranty for phone and 6 months for in the box accessories,Best Deal Camera Point
8,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/canon-eos-750d-kit-ef-s18-55mm-is-stm-24-2-mp-dslr-camera-black-CMPLXCAMCANON-EOS-75IMAG2686044CB2BD5-pdp?product_id=165274791&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C9%7Cdemographics_location%23NA&get_review_id=10093285&site_id=2&child_site_id=6,Canon EOS 750D Kit (EF-S18-55mm IS STM) 24.2 MP DSLR Camera (Black),4.8/5,9 Ratings & 1 Reviews,"55,895",55995,Null,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMCANON-EOS-75CAME236946D5DDE44,EOS 750D,2 years manufacturer warranty for camera body and lens,Best Deal Camera Point
9,https://paytmmall.com/shop/search?q=cameras&from=organic&child_site_id=6&site_id=2&category=6373&oq=camera,https://paytmmall.com/nikon-z5-kit-24-200mm-f-4-6-3-vr-lens-mirrorless-digital-camera-black-CMPLXCAMNIKON-Z5-KITDUMM20256D27EB093-pdp?product_id=331558905&sid=6e749145-2b4b-41e3-8bab-ebc437190df4&src=consumer_search&svc=-1&cid=6373&tracker=organic%7C%7Ccameras%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C10%7Cdemographics_location%23NA&get_review_id=331554556&site_id=2&child_site_id=6,Nikon Z5 Kit (24-200mm f/4-6.3 VR Lens) Mirrorless Digital Camera (Black),5/5,1 Ratings,"1,50,995",171995,12%,INR,1850,Null,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",CAMNIKON-Z5-KITBEST236942FAE222C,Nikon Z5 with Nikkor Z 24-200mm f/4-6.3 VR Lens,2 years manufacturer warranty for camera body and lens,Best Deal Camera Point
