,category_link,prod_link,prod_name,stars,ratings_reviews,offer_price,prod_mrp,discount,currency,cashback,promocode,cashback_more,product_code,model_id,warranty,seller_name
0,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/hp-15-thin-light-15-6-inch-fhd-laptop-11th-gen-intel-core-i5-1135g7-8gb-ddr4-1tb-hdd-windows-10-home-ms-office-integrated-graphics-fpr-natural-silver-1-76-kg-15s-du3032tu-CMPLXLAPHP-15-THIN-LGADG48687770AD811-pdp?product_id=333927957&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C1%7Cdemographics_location%23NA&get_review_id=333927960&site_id=2&child_site_id=6,"HP 15 Thin & Light 15.6-inch FHD Laptop (11th Gen Intel Core i5-1135G7, 8GB DDR4, 1TB HDD, Windows 10 Home, MS Office, Integrated Graphics, FPR, Natural Silver, 1.76 Kg), 15s-du3032TU",5/5,2 Ratings,"54,899",65000,16%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LAPHP-15-THIN-LGADG48687770AD811,15s-du3032TU,1 year manufacturer warranty for phone and 6 months for in the box accessories,Gadget Freak
1,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/lenovo-ideapad-s145-laptop-amd-a6-9225-4gb-ram-1tb-hdd-15-6-hd-ag-display-no-odd-windows-10-2-1-kg-grey-81n30063in-CMPLXLAPLENOVO-IDEAPDUMM2025616F5993F-pdp?product_id=306172978&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C2%7Cdemographics_location%23NA&get_review_id=306172979&site_id=2&child_site_id=6,"Lenovo Ideapad S145 Laptop (AMD A6 9225, 4GB RAM, 1TB HDD, 15.6"" HD AG Display, No ODD, Windows 10, 2.1 kg, Grey) - 81N30063IN",3.7/5,32 Ratings & 2 Reviews,"24,990",30690,19%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LAPLENOVO-IDEAPUNBO86732816F5993F,81N30063IN,1 year manufacturer warranty,Unbox Therapy
2,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/asus-x441ua-ga608t-laptop-intel-core-i5-8th-gen-8250u-1-6ghz-processor-8-gb-ddr4-1-tb-hdd-35-56-cm-14-inch-fhd-windows-10-home-without-optical-drive-black-1-8-kg-CMPLXLAPASUS-X441UA-IT-P20603566EFD6C-pdp?product_id=335734337&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C3%7Cdemographics_location%23NA&get_review_id=333669191&site_id=2&child_site_id=6,"Asus X441UA-GA608T Laptop (Intel Core i5-8th Gen 8250U @1.6GHz Processor/8 GB DDR4/ 1 TB HDD/35.56 cm (14 inch)/FHD/ Windows 10 Home/Without Optical Drive) (Black, 1.8 kg)",4.5/5,2 Ratings,"38,490",54990,30%,INR,1850,MALLBONANZA,Null,LAPASUS-X441UA-UNBO86732854515C76,X441UA-GA608T,Null,Unbox Therapy
3,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/lenovo-ideapad-s340-10th-gen-intel-core-i3-14-inch-full-hd-ips-thin-and-light-laptop-8-gb-256-gb-ssd-windows-10-ms-office-2019-platinum-grey-1-6-kg-81vv00jfin-CMPLXLAPLENOVO-IDEAPUNBO867328BCA95976-pdp?product_id=333294515&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C4%7Cdemographics_location%23NA&get_review_id=333294517&site_id=2&child_site_id=6,"Lenovo IdeaPad S340 10th Gen Intel Core i3/ 14 inch Full HD IPS Thin and Light Laptop (8 GB/256 GB SSD/Windows 10/MS Office 2019/Platinum Grey/1.6 Kg), 81VV00JFIN",4.5/5,2 Ratings,"41,990",58490,28%,INR,1850,MALLBONANZA,Null,LAPLENOVO-IDEAPUNBO867328BCA95976,81VV00JFIN,1 year manufacturer warranty,Unbox Therapy
4,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/lenovo-ideapad-s145-amd-ryzen-5-3500u-8gb-1tb-hdd-15-6-inch-full-hd-win-10-ms-office-2019-integrated-amd-radeon-vega-8-graphics-platinum-grey-1-85kg-81ut00jbin-CMPLXLAPLENOVO-IDEAPLOWE541476DA3FECC3-pdp?product_id=334430152&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C5%7Cdemographics_location%23NA&get_review_id=332588620&site_id=2&child_site_id=6,Lenovo Ideapad S145 (AMD Ryzen 5-3500U/8GB /1TB HDD/15.6 inch Full HD/Win 10/MS Office 2019/Integrated AMD Radeon Vega 8 Graphics/Platinum Grey/1.85Kg) 81UT00JBIN,4.2/5,4 Ratings,"39,990",53090,25%,INR,1850,MALLBONANZA,Null,LAPLENOVO-IDEAPUNBO867328D4A8736A,81UT00JBIN,1 year manufacturer warranty,Unbox Therapy
5,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/hp-pavilion-x360-intel-core-i5-10th-gen-8-gb-512-gb-ssd-39-62-cm-14-inch-windows-10-home-ms-office-14-dh1179tu-2-in-1-laptop-mineral-silver-1-58-kg-CMPLXLAPHP-PAVILION-DUMM20256402707FF-pdp?product_id=332625202&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C6%7Cdemographics_location%23NA&get_review_id=332188110&site_id=2&child_site_id=6,"HP Pavilion x360 (Intel Core i5-10th Gen/8 GB/512 GB SSD/39.62 cm (14 inch)/Windows 10 Home/MS Office) 14-dh1179TU 2 in 1 Laptop (Mineral Silver, 1.58 kg)",4/5,22 Ratings & 7 Reviews,"60,990",74875,19%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LAPHP-PAVILION-MOBI22943E35466A0,14-dh1179TU,1 year manufacturer warranty,Mobile Galaxy SLP
6,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/apple-macbook-pro-mvvj2hna-with-touch-bar-intel-core-i7-9th-gen-512-gb-ssd-16-gb-ddr4-ram-40-64-cm-16-inch-4-gb-graphic-memory-space-grey-2-kg-CMPLXLAPAPPLE-MACBOODUMM2025684908FEC-pdp?product_id=331110362&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C7%7Cdemographics_location%23NA&get_review_id=331110363&site_id=2&child_site_id=6,"Apple MacBook Pro MVVJ2HNA with Touch Bar Intel Core i7 9th Gen/512 GB SSD / 16 GB DDR4 RAM /(40.64 cm) 16 inch/ 4 GB Graphic Memory (Space Grey, 2 Kg)",Null,Null,"1,99,900",Null,Null,INR,1850,Null,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LAPAPPLE-MACBOOHOME84440684908FEC,MVVJ2HNA,1 year manufacturer warranty,Home Expert
7,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/dell-inspiron-15-3593-15-6-inch-fhd-laptop-10th-gen-core-i3-8gb-1tb-hdd-+-256ssd-windows-10-+-ms-office-intel-hd-graphics-silver-CMPLXLAPDELL-INSPIRODUMM20256C35748B6-pdp?product_id=333070710&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C8%7Cdemographics_location%23NA&get_review_id=330457809&site_id=2&child_site_id=6,Dell Inspiron 15 3593 15.6-inch FHD Laptop (10th Gen Core i3/8GB/1TB HDD + 256SSD/Windows 10 + MS Office/Intel HD Graphics/Silver),5/5,1 Ratings,"47,999",48925,2%,INR,Null,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LAPDELL-INSPIROJOSH1169300C35748B6,SUR3593INS8G256SSD,1 year manufacturer warranty,Joshidigital
8,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/asus-amd-dual-core-e2-7015-1-5ghz-4gb-ram-1tb-hdd-35-56-cm-14-inch-hd-windows-10-home-thin-and-light-e402ya-ga067t-dark-blue-1-65kg-CMPLXLAPASUS-AMD-DUADUMM20256343001CB-pdp?product_id=330948335&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C9%7Cdemographics_location%23NA&get_review_id=330948336&site_id=2&child_site_id=6,"Asus E402YA-GA067T Laptop (AMD Dual Core E2 7015 @1.5GHz / 4GB Ram / 1TB HDD / 14"" HD / Windows 10 Home / Thin and Light / 1.65kgs / No ODD) Without Optical Drive",4/5,5 Ratings,"22,975",24990,8%,INR,1850,MALLBONANZA,Null,LAPASUS-AMD-DUAIT-P20603343001CB,E402YA-GA067T,1 year manufacturer warranty,IT Products
9,https://paytmmall.com/shop/search?q=laptops&from=organic&child_site_id=6&site_id=2&category=6453&oq=laptop,https://paytmmall.com/avita-essential-ne14a2inc433-cr-14-inch-laptop-celeron-n4000-4gb-256gb-ssd-window-10-home-in-s-mode-integrated-graphics-concrete-grey-1-2-kg-CMPLXLAPAVITA-ESSENTSUN-53033C62A7BE1-pdp?product_id=333414674&sid=b48a6963-e94a-477d-bd68-cae69f0d94c4&src=consumer_search&svc=-1&cid=6453&tracker=organic%7C%7Claptops%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C10%7Cdemographics_location%23NA&get_review_id=333414676&site_id=2&child_site_id=6,"Avita Essential NE14A2INC433-CR 14-inch Laptop (Celeron N4000/4GB/256GB SSD/Window 10 Home in S Mode/Integrated Graphics), (Concrete Grey, 1.2 kg)",4/5,1 Ratings,"21,490",25999,17%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LAPAVITA-ESSENTSUN-53033C62A7BE1,NE14A2INC433,1 year manufacturer warranty,Sun Systems
