,category_link,prod_link,prod_name,stars,ratings_reviews,offer_price,prod_mrp,discount,currency,cashback,promocode,cashback_more,product_code,model_id,warranty,seller_name
0,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/apple-iphone-11-128-gb-white-CMPLXMOBAPPLE-IPHONESTRI2736846433CC44-pdp?product_id=333066300&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C1%7Cdemographics_location%23NA&get_review_id=332999790&site_id=2&child_site_id=6,Apple iPhone 11 128 GB White(Without Earphone & Adapter),3.8/5,28 Ratings & 3 Reviews,"58,863",59900,2%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBAPPLE-IPHONETELE288739EED7902A,iPhone 11,1 year manufacturer warranty for phone and 6 months for in the box accessories,Telematics
1,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/vivo-v20-pro-8-gb-128-gb-midnight-jazz-CMPLXMOBVIVO-V20-PROKIAA222802C5D5EB98-pdp?product_id=333466441&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C2%7Cdemographics_location%23NA&get_review_id=333466443&site_id=2&child_site_id=6,Vivo V20 Pro 8 GB 128 GB Midnight Jazz,3.7/5,49 Ratings & 10 Reviews,"29,990",34990,14%,INR,300,FESTIVE1,Users get flat 1% Cashback Upto Rs 4000 on purchase of Paytm Mall products. Conditions Apply.,MOBVIVO-V20-PROKIAA222802C5D5EB98,PD2020F_EX,Null,Kiaan Marketing
2,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/apple-iphone-11-64-gb-black-CMPLXMOBAPPLE-IPHONEDUMM20256103F7E0-pdp?product_id=332999768&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C3%7Cdemographics_location%23NA&get_review_id=332999769&site_id=2&child_site_id=6,Apple iPhone 11 64 GB Black (Without Earphone & Adapter),4.5/5,86 Ratings & 9 Reviews,"53,872",54900,2%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBAPPLE-IPHONESTRI273684103F7E0,iPhone 11,1 year manufacturer warranty for phone and 6 months for in the box accessories,Strides Commerce
3,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/apple-iphone-11-64-gb-purple-CMPLXMOBAPPLE-IPHONEDUMM20256E44359FB-pdp?product_id=333066298&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C4%7Cdemographics_location%23NA&get_review_id=332999745&site_id=2&child_site_id=6,Apple iPhone 11 64 GB Purple(Without Earphone & Adapter),3.9/5,22 Ratings & 5 Reviews,"53,866",54900,2%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBAPPLE-IPHONESTRI273684E44359FB,iPhone 11,1 year manufacturer warranty for phone and 6 months for in the box accessories,Telematics
4,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/apple-iphone-11-64-gb-white-without-earphone-addapter-CMPLXMOBAPPLE-IPHONETELE288739E56A1E72-pdp?product_id=333121574&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C5%7Cdemographics_location%23NA&get_review_id=333121576&site_id=2&child_site_id=6,Apple iPhone 11 64 GB White(Without Earphone & Addapter),4.1/5,21 Ratings & 2 Reviews,"53,900",54900,2%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBAPPLE-IPHONETELE288739E56A1E72,iPhone 11,1 year manufacturer warranty for phone and 6 months for in the box accessories,Telematics
5,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/i-kall-k100-black-CMPLXMOBI-KALL-K100-NIKO105609E28738B7-pdp?product_id=312302809&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66780&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C6%7Cdemographics_location%23NA&get_review_id=312302818&site_id=2&child_site_id=6,I KALL K100 Dual Sim (Black),3.3/5,197 Ratings & 56 Reviews,649,899,28%,INR,19,FESTIVE3,Get Flat 3% cashback up to Rs.4000. No minimum order value. Conditions Apply!,MOBI-KALL-K100-NIKO105609E28738B7,K100,1 year manufacturer warranty for phone and 6 months for in the box accessories,Nikon Systems
6,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/redmi-9i-4-gb-64-gb-midnight-black-CMPLXMOBREDMI-9I-4-GAPNI993020CE5A714-pdp?product_id=332522919&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C7%7Cdemographics_location%23NA&get_review_id=332522923&site_id=2&child_site_id=6,Redmi 9i 4 GB 64 GB Midnight Black,4.2/5,34 Ratings & 9 Reviews,"8,766",9999,12%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBREDMI-9I-4-GM-S-136429CE5A714,MZB0813IN / MZB080SIN,Null,M S R V Teleworld
7,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/micromax-x378-blue-CMPLXMOBMICROMAX-X37BETT605464B502733C-pdp?product_id=334582520&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66780&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C8%7Cdemographics_location%23NA&get_review_id=301415414&site_id=2&child_site_id=6,Micromax X378 Dual Sim Blue,4.3/5,47 Ratings & 7 Reviews,862,1499,42%,INR,Null,Null,Null,MOBMICROMAX-X37BETT605464B502733C,X378,1 year manufacturer warranty for phone and 6 months for in the box accessories,Kartikay Enterprises
8,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/realme-7-6-gb-64-gb-mist-blue-CMPLXMOBREALME-7-6-GONE-47081A18F9E10-pdp?product_id=334001117&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C9%7Cdemographics_location%23NA&get_review_id=331903604&site_id=2&child_site_id=6,Realme 7 6 GB 64 GB Mist Blue,3.8/5,73 Ratings & 18 Reviews,"14,432",17999,20%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBREALME-7-6-GPRAX11703879F1EA35F,RMX2151,1 year manufacturer warranty for phone and 6 months for in the box accessories,Praxton
9,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/nokia105-ds-ta-1034-black-CMPLXMOBNOKIA105-DS-DUMM141F938720-pdp?product_id=333553523&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66780&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C10%7Cdemographics_location%23NA&get_review_id=137378555&site_id=2&child_site_id=6,Nokia 105 Single SIM (Black),Null,Null,"1,160",1349,14%,INR,Null,Null,Null,MOBNOKIA-105-BLVISI1093733AB23B478,TA-1203 SS,1 year manufacturer warranty,Vision Cell Slp
10,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/samsung-galaxy-m01-3-gb-32-gb-blue-CMPLXMOBSAMSUNG-GALADUMM20256CED0A72F-pdp?product_id=332515147&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C11%7Cdemographics_location%23NA&get_review_id=326234680&site_id=2&child_site_id=6,Samsung Galaxy M01 3 GB 32 GB Blue,Null,Null,"7,799",9999,22%,INR,Null,Null,Null,MOBSAMSUNG-GALABALA8160124E54D6C,SM-M015GZBDINS,Null,Balaji Infocom
11,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/vivo-y91i-2-gb-32-gb-fusion-black-CMPLXMOBVIVO-Y91I-2-DUMM202566BB2BC22-pdp?product_id=236655423&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C12%7Cdemographics_location%23NA&get_review_id=236655425&site_id=2&child_site_id=6,Vivo Y91i 2 GB 32 GB Fusion Black,4.4/5,364 Ratings & 35 Reviews,"7,990",9990,20%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBVIVO-Y91I-2-KIAA2228026BB2BC22,Y91i,1 year manufacturer warranty for phone and 6 months for in the box accessories,Kiaan Marketing
12,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/oppo-f17-pro-8gb-128gb-magic-blue-CMPLXMOBOPPO-F17-PROFUTU629745BED6286A-pdp?product_id=331344260&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C13%7Cdemographics_location%23NA&get_review_id=331344262&site_id=2&child_site_id=6,OPPO F17 Pro 8GB 128GB Magic Blue,4.3/5,47 Ratings & 8 Reviews,"21,490",25990,17%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBOPPO-F17-PROFUTU629745BED6286A,CPH2119,1 year manufacturer warranty for phone and 6 months for in the box accessories,Future Mobile
13,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/poco-m2-6-gb-64-gb-slate-blue-CMPLXMOBPOCO-M2-6-GBDUMM202568BDBCB6A-pdp?product_id=333152225&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C14%7Cdemographics_location%23NA&get_review_id=332756701&site_id=2&child_site_id=6,POCO M2 6 GB 64 GB Slate Blue,3.9/5,12 Ratings & 2 Reviews,"12,145",12999,7%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBPOCO-M2-6-GBTRID1155361CD84BA5,MZB9919IN,1 year manufacturer warranty for phone and 6 months for in the box accessories,Trident Inc
14,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/apple-iphone-11-128-gb-black-CMPLXMOBAPPLE-IPHONEDUMM2025690E6D210-pdp?product_id=333066310&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C15%7Cdemographics_location%23NA&get_review_id=332999762&site_id=2&child_site_id=6,Apple iPhone 11 128 GB Black(Without Earphone & Adapter),4.3/5,52 Ratings & 8 Reviews,"58,860",59900,2%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBAPPLE-IPHONESTRI27368490E6D210,iPhone 11,1 year manufacturer warranty for phone and 6 months for in the box accessories,Telematics
15,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/nokia-105-ta-1203-ss-blue-CMPLXMOBNOKIA-105-TADUMM2025690D1242E-pdp?product_id=306176269&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66780&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C16%7Cdemographics_location%23NA&get_review_id=290437514&site_id=2&child_site_id=6,Nokia 105 Single SIM (Blue),4.1/5,182 Ratings & 26 Reviews,"1,211",1349,10%,INR,Null,Null,Null,MOBNOKIA-105-BLFUTU629745545025C0,TA-1203 SS,1 year manufacturer warranty,Future Mobile
16,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/realme-narzo-20a-4-gb-64-gb-glory-sliver-CMPLXMOBREALME-NARZODUMM202566EC92FB5-pdp?product_id=332450822&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C17%7Cdemographics_location%23NA&get_review_id=332450824&site_id=2&child_site_id=6,Realme Narzo 20A 4 GB 64 GB Glory Sliver,3.5/5,46 Ratings & 11 Reviews,"10,434",11999,13%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBREALME-NARZOBALA8160126EC92FB5,RMX2050,1 year manufacturer warranty for phone and 6 months for in the box accessories,Balaji Infocom
17,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/samsung-galaxy-m01-core-1-gb-16-gb-blue-CMPLXMOBSAMSUNG-GALAAPNI993020AFC78FFD-pdp?product_id=331797934&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C18%7Cdemographics_location%23NA&get_review_id=331271069&site_id=2&child_site_id=6,Samsung Galaxy M01 Core 1 GB 16 GB Blue,3.8/5,103 Ratings & 23 Reviews,"5,199",6999,26%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBSAMSUNG-GALAHARD40022C9AF765B,SM-M013FZBDINS,Null,Hardtrac Computer Services
18,https://paytmmall.com/shop/search?q=mobiles&from=organic&child_site_id=6&site_id=2&category=6224,https://paytmmall.com/redmi-9-prime-4-gb-64-gb-mint-green-CMPLXMOBREDMI-9-PRIMGOEL2537615DB44B32-pdp?product_id=331848185&sid=16cfbf45-266c-4237-bcc7-44832faa0d10&src=consumer_search&svc=-1&cid=66781&tracker=organic%7C%7Cmobiles%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C19%7Cdemographics_location%23NA&get_review_id=331830394&site_id=2&child_site_id=6,Redmi 9 Prime 4 GB 64 GB Mint Green,4.3/5,30 Ratings & 9 Reviews,"10,191",10990,7%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",MOBREDMI-9-PRIMBALA8160126B119B98,9 Prime,Null,Balaji Infocom
