,category_link,prod_link,prod_name,stars,ratings_reviews,offer_price,prod_mrp,discount,currency,cashback,promocode,cashback_more,product_code,model_id,warranty,seller_name
0,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/pickadda-s10-mini-portable-bluetooth-speaker-pink-CMPLXCOMPICKADDA-S10DUMM2025658932E5C-pdp?product_id=308471227&sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=6455&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C1%7Cdemographics_location%23NA&get_review_id=308471228&site_id=2&child_site_id=6,Kboom S10 Bluetooth Portable speaker ( Assorted ),3.2/5,961 Ratings & 297 Reviews,199,499,60%,INR,Null,Null,Null,COMPICKADDA-S10PICK21852458932E5C,S10,3 months seller warranty,Pickadda
1,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/boat-stone-190-bluetooth-portable-speaker-blue-CMPLXCOMBOAT-STONE-1DUMM20256E8D7C6EF-pdp?product_id=332070257&sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=6455&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C2%7Cdemographics_location%23NA&get_review_id=332070258&site_id=2&child_site_id=6,boAt STONE 190 Bluetooth Portable speaker ( Blue ),3.9/5,22 Ratings & 5 Reviews,999,2999,67%,INR,Null,Null,Null,COMBOAT-STONE-1E-PL22764E8D7C6EF,Stone 190,1 year manufacturer warranty,E Planet SLP
2,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/ms-trading-company-s10-bluetooth-portable-speaker-assorted-CMPLXCOMMSTC-S10-LIGMS-T319629AD30520F-pdp?product_id=327853490&sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=6455&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C3%7Cdemographics_location%23NA&get_review_id=327853501&site_id=2&child_site_id=6,MS TRADING COMPANY S10 Bluetooth Portable speaker ( Assorted ),2.9/5,125 Ratings & 48 Reviews,189,299,37%,INR,Null,Null,Null,COMMS-TRADING-CJIND258492114C4321,S10,3 months manufacturer warranty,MS TRADING COMPANY Authorised Seller
3,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/konarrk-g2-sd-card-pen-drive-support-bluetooth-portable-speaker-assorted-CMPLXCOMKONARRK-G2-SDUMM202562A1F4FED-pdp?product_id=331776088&sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=6455&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C4%7Cdemographics_location%23NA&get_review_id=331776089&site_id=2&child_site_id=6,KONARRK G2 SD CARD & PEN DRIVE SUPPORT Bluetooth Portable speaker ( Assorted ),3.2/5,108 Ratings & 37 Reviews,249,690,64%,INR,Null,Null,Null,COMKONARRK-G2-SGADG3328022A1F4FED,G2 SD Card & Pen Drive Support,3 months manufacturer warranty,KONARRK Authorised Seller
4,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/palco-sound-system-m1100-1-speaker-system-COMPALCO-SOUND-PAL-912977DCE05-pdp?sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=11420&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C5%7Cdemographics_location%23NA&get_review_id=333584292&site_id=2&child_site_id=6,PALCO SOUND SYSTEM M1100 1 Speaker system,4.1/5,11 Ratings & 1 Reviews,"1,200",2500,52%,INR,Null,Null,Null,COMPALCO-SOUND-PAL-912977DCE05,M1100,3 months seller warranty,PALCO SOUND SYSTEM Authorised Seller
5,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/ms-trading-company-tg-113-portable-bluetooth-speaker-blue-COMMSTC-NEW-TG-MS-T319629306B3FC7-pdp?sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=6455&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C6%7Cdemographics_location%23NA&get_review_id=255733186&site_id=2&child_site_id=6,QUXXA TG-113 Tg-113 Bluetooth Portable speaker ( Assorted ),3.6/5,120 Ratings & 38 Reviews,375,2499,85%,INR,Null,Null,Null,COMMSTC-NEW-TG-MS-T319629306B3FC7,TG-113,Null,M S Trading Company
6,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/jbl-party-box-300-eu-1-hi-fi-and-party-speakers-CMPLXCOMJBL-PARTY-BODUMM20256A1448C52-pdp?product_id=333219096&sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=11420&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C7%7Cdemographics_location%23NA&get_review_id=219793869&site_id=2&child_site_id=6,JBL Party Box 300 EU 1 Hi-fi and party speaker,4.3/5,27 Ratings & 7 Reviews,"29,499",35999,18%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",COMJBL-PARTY-BOSUN-530332D79B53B,Party Box 300 EU,1 year manufacturer warranty,Sun Systems
7,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/zebronics-zeb-county-wired-bluetooth-portable-speaker-blue-CMPLXCOMZEBRONICS-ZEDUMM20256B9BDD1D3-pdp?product_id=335780831&sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=6455&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C8%7Cdemographics_location%23NA&get_review_id=315830953&site_id=2&child_site_id=6,Zebronics ZEB-COUNTY Wired & Bluetooth Portable speaker ( Blue ),4/5,64 Ratings & 19 Reviews,537,999,46%,INR,Null,Null,Null,COMZEBRONICS-ZECOLO249505D973B396,Zeb-County,1 year manufacturer warranty,Bayari Ventures
8,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/btk-trade-bulb-speaker-bluetooth-portable-speaker-white-CMPLXCOMBTK-TRADE-BUDUMM20256C40EF730-pdp?product_id=331161966&sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=6455&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C9%7Cdemographics_location%23NA&get_review_id=331161967&site_id=2&child_site_id=6,BTK Trade BULB SPEAKER Bluetooth Portable speaker ( White ),3.3/5,116 Ratings & 35 Reviews,339,999,66%,INR,Null,Null,Null,COMBTK-TRADE-BUTARU728773C40EF730,Bulb Speaker,3 months manufacturer warranty,Tarun Bharti
9,https://paytmmall.com/shop/search?q=speaker&from=organic&child_site_id=6&site_id=2&category=11420%2C6455,https://paytmmall.com/boat-stone-1000-bluetooth-speaker-black-CMPLXCOMBOAT-STONE-1DUMM14129B946F2-pdp?product_id=200753637&sid=b06ae59a-c4dc-424b-81cd-94aad5c894fd&src=consumer_search&svc=-1&cid=6455&tracker=organic%7C%7Cspeaker%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C10%7Cdemographics_location%23NA&get_review_id=133038899&site_id=2&child_site_id=6,boAt STONE 1000 Bluetooth Portable speaker ( Black ),4.3/5,213 Ratings & 39 Reviews,"2,999",6990,57%,INR,Null,Null,Null,COMBOAT-STONE-1CLIC252498E3E5D4EF,Stone 1000,1 year manufacturer warranty,Click Buy
