,category_link,prod_link,prod_name,stars,ratings_reviews,offer_price,prod_mrp,discount,currency,cashback,promocode,cashback_more,product_code,model_id,warranty,seller_name
0,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/samsung-32-32n4000-hd-ready-hd-plus-led-tv-CMPLXLARSAMSUNG-32-3DUMM202567760B962-pdp?product_id=201541190&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C1%7Cdemographics_location%23NA&get_review_id=189875875&site_id=2&child_site_id=6,Samsung 80 cm (32 inch) HD Ready LED TV - 32N4000,4.5/5,4 Ratings,"14,999",23500,36%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARSAMSUNG-81-2SAMS23151127979CB9,32N4000,1 year manufacturer warranty,Mohanji Electronics
1,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/lg-smart-80-cm-32-inch-full-hd-led-tv-32lm576bptc-CMPLXLARLG-80-CM-32-DUMM20256FF04C15A-pdp?product_id=290225634&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C2%7Cdemographics_location%23NA&get_review_id=254706100&site_id=2&child_site_id=6,LG Smart 80 cm (32 inch) Full HD LED TV - 32LM576BPTC,3.5/5,6 Ratings & 1 Reviews,"19,990",22990,13%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARLG-SMART-80-ONLI81618613041033,32LM576BPTC,1 year manufacturer warranty for phone and 6 months for in the box accessories,Online Source Hub
2,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/yuwa-smart-140-cm-55-inch-4k-ultra-hd-led-tv-y-55-4k-CMPLXLARYUWA-140-CM-NITC4148365A3D3BC7-pdp?product_id=331366714&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C3%7Cdemographics_location%23NA&get_review_id=331366716&site_id=2&child_site_id=6,Yuwa Smart 140 cm (55 inch) 4K (Ultra HD) LED TV - NTY-55,Null,Null,"35,349",94900,63%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARYUWA-140-CM-NITC4148365A3D3BC7,NTY-55,1 year manufacturer warranty for phone and 6 months for in the box accessories,Yuwa Authorised Seller
3,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/croma-smart-80-cm-32-inch-hd-ready-led-tv-rel7363-CMPLXLARCROMA-80-CM-INFI46128629AA80A-pdp?product_id=333067406&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C4%7Cdemographics_location%23NA&get_review_id=333067408&site_id=2&child_site_id=6,Croma Smart 80 cm (32 inch) HD Ready LED TV - REL7363,3/5,2 Ratings,"16,490",25000,34%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARCROMA-80-CM-INFI46128629AA80A,REL7363,3 years manufacturer warranty,Croma Authorised Seller
4,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/iffalcon-smart-109-cm-43-inch-4k-ultra-hd-led-tv-43k61-CMPLXLARIFFALCON-BY-DUMM202563F21EAF-pdp?product_id=335204077&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C5%7Cdemographics_location%23NA&get_review_id=335204363&site_id=2&child_site_id=6,IFFALCON Smart 109 cm (43 inch) 4K (Ultra HD) LED TV - 43K61,Null,Null,"27,990",47990,42%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARIFFALCON-SMAONLI816186D7618B4D,43K61,1 year manufacturer warranty,Online Source Hub
5,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/kevin-smart-100-cm-40-inch-hd-ready-led-tv-kn40sca-CMPLXLARKEVIN-100-CMDUMM2025644BF7007-pdp?product_id=335991997&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C6%7Cdemographics_location%23NA&get_review_id=335991998&site_id=2&child_site_id=6,Kevin Smart 100 cm (40 inch) HD Ready LED TV - KN40SCA,Null,Null,"17,999",25999,31%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARKEVIN-100-CMBEST66254244BF7007,KN40SCA,1 year manufacturer warranty for phone and 6 months for in the box accessories,Beston Sky Vision
6,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/panasonic-100-cm-40-inch-th-40f200dx-full-hd-smart-led-tv-black-silver-CMPLXLARPANASONIC-10BRAN3184584410924-pdp?product_id=216504534&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C7%7Cdemographics_location%23NA&get_review_id=201068663&site_id=2&child_site_id=6,Panasonic 101.6 cm (40 inch) Full HD LED TV - 40F200DX,4.2/5,30 Ratings & 2 Reviews,"18,990",47900,60%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARPANASONIC-10AALA92119713E82DE4,40F200DX,1 year manufacturer warranty,Aalap Electronics
7,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/samsung-80-cm-32-inch-ua32t4050arxxl-hd-smart-tv-CMPLXLARSAMSUNG-80-CS-C-7294058359D52E-pdp?product_id=336451559&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C8%7Cdemographics_location%23NA&get_review_id=330834817&site_id=2&child_site_id=6,Samsung 80 cm (32 inch) UA32T4050ARXXL HD Smart TV,3.7/5,3 Ratings,"14,945",15900,6%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARSAMSUNG-80-CMOHA2315118359D52E,UA32T4050ARXXL,1 year manufacturer warranty,Mohanji Electronics
8,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/lg-81-28-cm-32-inch-32lk526bpta-led-smart-tv-CMPLXLARLG-81-28-CM-BRAN318457870B013-pdp?product_id=203549042&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C9%7Cdemographics_location%23NA&get_review_id=199075152&site_id=2&child_site_id=6,LG 80 cm (32 inch) HD Ready LED TV - 32LK526BPTA,4.4/5,19 Ratings & 1 Reviews,"16,855",17990,6%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARLG-80-CM-32-SAHI27653762EEE955,32LK526BPTA,1 year manufacturer warranty for phone and 6 months for in the box accessories,Sahil Electronics
9,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/yuwa-smart-102-cm-40-inch-full-hd-led-tv-nty-40s-CMPLXLARYUWA-102-CM-NITC4148366B6759EE-pdp?product_id=331395110&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C10%7Cdemographics_location%23NA&get_review_id=331395114&site_id=2&child_site_id=6,Yuwa Smart 102 cm (40 inch) Full HD LED TV - NTY-40S,Null,Null,"18,248",44900,59%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARYUWA-102-CM-NITC4148366B6759EE,NTY-40S,1 year manufacturer warranty,Yuwa Authorised Seller
10,https://paytmmall.com/shop/search?q=tv&from=organic&child_site_id=6&site_id=2&category=24843,https://paytmmall.com/yuwa-smart-81-28-cm-32-inch-full-hd-led-tv-nty-32s-CMPLXLARYUWA-81-28-CNITC414836A156B07C-pdp?product_id=331395102&sid=3a80ebbc-7c54-4840-a2c5-184048026725&src=consumer_search&svc=-1&cid=24843&tracker=organic%7C%7Ctv%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C11%7Cdemographics_location%23NA&get_review_id=331395105&site_id=2&child_site_id=6,Yuwa Smart 81.28 cm (32 inch) Full HD LED TV - NTY-32S,Null,Null,"14,525",34490,58%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARYUWA-81-28-CNITC414836A156B07C,NTY-32S,1 year manufacturer warranty,Yuwa Authorised Seller
