,category,product_url,product_name,model_no,brand,MRP,offer_price,save_percentage,EMI,delivery,warranty,return_policy
0,television,https://www.snapdeal.com/product/cinevista-cinevista-43-smart-10541/661092731406,"Cinevista 43"" SMART 109.22 cm ( 43 ) Smart Full HD (FHD) LED Television","43"" SMART",Cinevista,"MRP  Rs. 42,990  (Inclusive of all taxes)",Rs. 24041,44% OFF,EMI starts at Rs. 1142 /month.,Generally delivered in 7 - 11 days,1 year,7 Days Easy Returns
1,television,https://www.snapdeal.com/product/lg-43lj522t-103-cm-43/685568218455,LG 43LJ522T 103 cm ( 43 ) Full HD (FHD) LED Television,43LJ522T,LG,,Rs. 39000,,EMI starts at Rs. 1854 /month.,Generally delivered in 5 - 9 days,1,7 Days Easy Returns
2,television,https://www.snapdeal.com/product/zondag-na-109-cm-43/645969311482,ZONDAG na 109 cm ( 43 ) Smart Full HD (FHD) LED Television With 1+2 Year Extended Warranty,na,ZONDAG,"MRP  Rs. 38,990  (Inclusive of all taxes)",Rs. 22990,41% OFF,EMI starts at Rs. 1092 /month.,Generally delivered in 8 - 12 days,3,7 Days Easy Returns
3,television,https://www.snapdeal.com/product/eel-eeltv322021-80-cm-32/620166362050,EEL EELTV322021 80 cm ( 32 ) HD Ready (HDR) LED Television With 1+2 Year Extended Warranty,EELTV322021,EEL,"MRP  Rs. 19,500  (Inclusive of all taxes)",Rs. 12900,34% OFF,EMI starts at Rs. 613 /month.,Generally delivered in 11 - 15 days,2,7 Days Easy Returns
4,television,https://www.snapdeal.com/product/tailos-1920-x-1080-80/662708751462#bcrumbLabelId:64,Tailos ( 1920 x 1080 ) 80 cm ( 32 ) Ultra HD (4K) LED Television,( 1920 x 1080 ),Tailos,"MRP  Rs. 22,899  (Inclusive of all taxes)",Rs. 18959,17% OFF,EMI starts at Rs. 901 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
5,television,https://www.snapdeal.com/product/cohoes-lthd24-609-cm-24/642768358230#bcrumbLabelId:64,Cohoes LTHD24 60.9 cm ( 24 ) HD Plus LED Television,LTHD24,Cohoes,"MRP  Rs. 16,500  (Inclusive of all taxes)",Rs. 12000,27% OFF,EMI starts at Rs. 570 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
6,television,https://www.snapdeal.com/product/destine-ds32sm21-81-cm-32/649018596904,destine DS32SM-21 81 cm ( 32 ) Full HD (FHD) LED Television,DS32SM-21,destine,"MRP  Rs. 21,000  (Inclusive of all taxes)",Rs. 14999,29% OFF,EMI starts at Rs. 713 /month.,Generally delivered in 9 - 13 days,1,7 Days Easy Returns
7,television,https://www.snapdeal.com/product/lg-43lk5260pta-108-cm-full/648656454508,LG 43LK5260PTA 108 cm ( 43 ) Full HD (FHD) LED Television,43LK5260PTA,LG,"MRP  Rs. 44,990  (Inclusive of all taxes)",Rs. 32884,27% OFF,EMI starts at Rs. 1563 /month.,Generally delivered in 5 - 9 days,1,7 Days Easy Returns
8,television,https://www.snapdeal.com/product/ever-home-appliances-x1-60/674115267102,EVER HOME APPLIANCES X1 60 cm ( 24 ) HD Ready (HDR) LED Television With 1+2 Year Extended Warranty,X1,EVER HOME APPLIANCES,,Rs. 12999,,EMI starts at Rs. 618 /month.,Generally delivered in 7 - 11 days,1+2,7 Days Easy Returns
9,television,https://www.snapdeal.com/product/lg-43uk6560ptc-108-cm-ultra/640548058742#bcrumbLabelId:64,LG 43UK6560PTC 108 cm ( ) Ultra HD (4K) LED Television,43UK6560PTC,LG,"MRP  Rs. 71,990  (Inclusive of all taxes)",Rs. 51649,28% OFF,EMI starts at Rs. 2455 /month.,Generally delivered in 5 - 9 days,1,7 Days Easy Returns
